feature,importance
formation_Manganiferous_Formation,0.26893142
formation_Laterite,0.23949388
formation_Quartzite,0.0962342
formation_Schist,0.07937006
formation_Gondite,0.058341958
formation_Granite,0.048663147
swir_ratio,0.019377148
swir_b11,0.019240368
swir_b12,0.018113315
land_surface_temperature,0.017586224
slope_deg,0.013512949
ndwi,0.012843996
red_b4,0.012327048
aspect_deg,0.012256636
elevation_m,0.012255294
nir_b8,0.012197288
ndvi,0.012163582
bare_soil_index,0.012072407
blue_b2,0.012064583
depth_m,0.011792139
green_b3,0.011162367
